77.12 4912 872 9824 340 -2101 -3606
77.122 5288 1604 9880 522 -1900 -4004
77.124 5656 2012 10056 652 -1732 -4343
77.126 5948 3180 10016 758 -1609 -4706
77.128 6056 3852 9920 801 -1519 -5122
77.131 6112 4592 10144 777 -1491 -5494
77.133 6080 5392 10408 689 -1491 -5829
77.135 6276 6388 10636 643 -1534 -6179
77.137 6040 7076 10900 539 -1665 -6511
77.14 6144 7880 10844 446 -1798 -6843
77.142 6164 8684 11452 195 -1997 -7134
77.144 6200 9968 11612 31 -2164 -7366
77.146 5992 10936 11868 -222 -2344 -7602
77.149 5956 11744 12056 -548 -2563 -7776
77.151 6056 12512 11824 -800 -2750 -7889
77.153 6540 13348 12208 -1234 -2841 -8011
77.155 6416 13672 11448 -1396 -2884 -8108
77.157 6648 14092 10952 -1574 -2970 -8179
77.16 7048 14776 11064 -1880 -2960 -8151
77.162 6784 15620 11020 -2085 -3035 -8136
77.164 6744 17096 11360 -2407 -3146 -8110
77.166 6596 17852 12732 -2708 -3160 -8065
77.169 6024 18676 13592 -3020 -3292 -7970
77.171 5072 19408 14540 -3329 -3249 -7854
77.173 5752 19652 15240 -3545 -3167 -7626
77.175 5452 20316 16244 -3973 -2915 -7405
77.177 5448 20436 18412 -4534 -2536 -7169
77.18 5256 18660 20012 -4592 -2038 -6904
77.182 4180 18184 19996 -4736 -1512 -6733
77.184 4364 17552 22388 -5023 -871 -6509
77.186 4492 16348 24532 -5096 -324 -6279
77.189 5412 15292 27756 -5427 158 -6119
77.191 5192 13848 29100 -5450 585 -6015
77.193 4192 10720 29172 -5243 746 -5944
77.195 4584 8728 30240 -4890 819 -5843
77.198 4764 7704 31792 -4733 893 -5735
77.2 4768 6732 32767 -4628 822 -5615
77.202 4636 4356 32767 -4250 584 -5481
77.204 4776 2484 32767 -3951 232 -5344
77.206 5120 992 32767 -3411 -104 -5218
77.209 6684 -12 32767 13303 555 -1883
77.211 7200 -7412 -2716 -24817 331 -8253
77.213 10152 -10296 -32768 11520 1198 -4026
77.215 16512 1628 32767 -10473 78 -5091
77.218 13728 1288 32767 -2315 1603 -4805
77.22 13596 -13340 7640 -1267 3278 -4545
77.222 7644 -5704 32767 -6969 2290 -4771
77.224 9548 -13240 14656 2020 5329 -4638
77.226 4080 -7216 32767 -6061 3491 -4802
77.229 4292 -13752 27064 716 4875 -4590
77.231 4560 -13096 29908 -2568 4342 -4472
77.233 -584 -11144 32760 -1462 3955 -4440
77.235 160 -13192 31100 -260 4217 -4399
77.238 -1768 -11404 32767 -2738 3334 -4344
77.24 -2020 -16940 31744 792 3804 -4320
77.242 -4276 -13232 32767 -2018 2974 -4337
77.244 -4112 -15936 32767 320 3275 -4234
77.246 -4992 -14880 32767 -39 3164 -3938
77.249 -5364 -15000 32767 -1168 2725 -3896
77.251 -8132 -15700 30440 -613 2423 -4047
77.253 -7052 -15904 32767 -1188 2272 -3936
77.255 -7288 -17140 32767 -168 2268 -3729
77.258 -8672 -15996 32767 -1141 2062 -3641
77.26 -9568 -16996 32767 -437 1947 -3613
77.262 -10192 -17804 32767 -618 1661 -3524
77.264 -10600 -17884 32767 -465 1290 -3382
77.266 -10952 -17864 32767 -340 953 -3259
77.269 -11000 -17476 32767 -567 467 -3075
77.271 -10920 -18552 32767 -177 148 -2916
77.273 -10980 -18572 32767 -330 -302 -2760
77.275 -10564 -18708 32767 -97 -645 -2566
77.278 -10000 -18736 32767 -42 -992 -2383
77.28 -9356 -18732 32767 152 -1269 -2239
77.282 -8456 -18992 32767 479 -1545 -2089
77.284 -7760 -18916 32767 605 -1759 -1972
77.287 -6628 -18828 32767 923 -1889 -1855
77.289 -5492 -18432 32767 1208 -2074 -1770
77.291 -3452 -17740 32767 1529 -2142 -1699
77.293 -2288 -17028 32767 1692 -2128 -1653
77.296 -1108 -16672 32767 1994 -2126 -1630
77.298 108 -16112 32767 2141 -2043 -1617
77.3 1164 -15340 32600 2419 -1983 -1617
77.302 1940 -14912 31856 2698 -1891 -1634
77.304 2624 -14732 31304 3021 -1786 -1617
77.307 2972 -14128 30740 3205 -1658 -1683
77.309 3584 -13472 29800 3470 -1589 -1753
77.311 3824 -12952 29392 3744 -1411 -1795
77.313 3804 -12260 29140 3821 -1337 -1862
77.316 3612 -11584 28360 4074 -1270 -1917
77.318 3668 -11052 27168 4403 -1257 -1975
77.32 3500 -9768 26076 4463 -1265 -2055
77.322 3696 -9208 24760 4774 -1224 -2077
77.324 3696 -8304 24104 4843 -1191 -2139
77.327 3596 -7676 23592 4900 -1128 -2225
77.329 3752 -6556 21864 5004 -1040 -2287
77.331 3796 -5968 20972 5003 -960 -2328
77.333 3864 -5380 19904 5101 -804 -2407
77.336 3652 -4708 18912 5028 -653 -2492
77.338 3728 -4108 17984 5048 -506 -2542
77.34 3700 -2984 16684 4901 -311 -2602
77.342 3476 -2468 15352 4763 -148 -2696
77.344 3604 -1948 14212 4692 71 -2757
77.347 3584 -1564 13360 4476 280 -2836
77.349 3532 -876 11732 4322 515 -2861
77.351 3348 -484 10808 4113 711 -2921
77.353 3488 -172 9652 3933 924 -2939
77.356 3176 144 8836 3724 1099 -2990
77.358 2792 720 7780 3505 1273 -3018
77.36 2848 1004 6792 3297 1459 -3028
77.362 2692 1220 5824 3086 1578 -3040
77.364 2388 1672 5216 2897 1693 -3040
77.367 2484 2180 4672 2622 1746 -3049
77.369 2236 2680 3772 2400 1760 -3042
77.371 2188 2916 2996 2150 1754 -3009
77.373 2288 3300 2376 1883 1676 -3011
77.376 2044 3772 1796 1664 1532 -2979
77.378 2064 4260 1372 1390 1387 -3020
77.38 2048 4568 736 1163 1176 -3046
77.382 2200 4792 320 997 1031 -3050
77.384 2496 4964 72 773 867 -3106
77.387 3000 5068 -332 574 767 -3151
77.389 3348 5480 -772 490 709 -3205
77.391 3672 5980 -920 325 698 -3264
77.393 4256 6376 -1260 153 776 -3338
77.396 4468 6804 -1160 -22 860 -3414
77.398 4588 7536 -940 -200 1022 -3528
77.4 4560 7868 -1020 -389 1205 -3642
77.402 4788 8320 -1316 -543 1405 -3744
77.404 4844 8880 -1288 -765 1660 -3861
77.407 4984 9200 -1092 -965 1870 -3987
77.409 4880 9608 -1192 -1205 2088 -4112
77.411 4984 9612 -1668 -1309 2288 -4260
77.413 4852 9716 -2120 -1423 2545 -4444
77.416 4888 9756 -2164 -1513 2745 -4628
77.418 5064 10044 -2368 -1620 2996 -4857
77.42 4756 10316 -2424 -1781 3275 -5084
77.422 4848 10604 -2412 -1896 3577 -5271
77.424 4684 11024 -2524 -2101 3879 -5481
77.427 4228 11096 -2540 -2272 4208 -5711
77.429 3580 11132 -2996 -2405 4522 -5958
77.431 3032 11072 -2924 -2529 4847 -6147
77.433 2732 10920 -2816 -2651 5161 -6331
77.435 2312 11100 -2748 -2823 5389 -6467
77.438 1084 11000 -2980 -2993 5596 -6639
77.44 436 10488 -3552 -3083 5689 -6724
77.442 -444 9808 -3616 -3179 5736 -6779
77.444 -1100 9132 -3980 -3185 5664 -6821
77.447 -1956 8492 -4128 -3227 5521 -6835
77.449 -2996 7692 -4464 -3223 5348 -6851
77.451 -3484 7264 -4676 -3214 5098 -6824
77.453 -3888 6620 -4760 -3185 4830 -6804
77.456 -4088 5936 -5064 -3131 4581 -6745
77.458 -3956 4992 -5056 -3132 4414 -6721
77.46 -3728 4364 -4956 -3090 4288 -6682
77.462 -3496 3876 -4904 -2996 4231 -6624
77.464 -3344 3284 -4820 -2968 4257 -6575
77.467 -3444 2660 -5012 -2873 4291 -6521
77.469 -3532 1696 -5000 -2753 4350 -6439
77.471 -3848 1328 -4412 -2697 4401 -6346
77.473 -4008 892 -3920 -2618 4423 -6213
77.476 -4180 560 -3576 -2539 4367 -6076
77.478 -4500 -192 -2980 -2412 4263 -5937
77.48 -4672 -544 -2752 -2263 4089 -5748
77.482 -4788 -996 -1980 -2106 3915 -5574
77.485 -5060 -1580 -1164 -1865 3680 -5389
77.487 -5020 -1992 400 -1722 3486 -5132
77.489 -5292 -2248 1460 -1499 3303 -4900
77.491 -5408 -2488 2664 -1294 3071 -4651
77.493 -5712 -2676 3784 -1062 2874 -4421
77.496 -5776 -2872 5820 -801 2646 -4174
77.498 -5836 -2972 7204 -623 2386 -3924
77.5 -6192 -3172 8228 -359 2116 -3650
77.502 -6524 -3656 8784 107 1821 -3381
77.505 -6636 -3700 9776 354 1506 -3114
77.507 -6820 -3228 11436 658 1150 -2839
77.509 -6776 -2852 12664 883 841 -2618
77.511 -6832 -2176 13612 1125 512 -2349
77.513 -7004 -1620 14696 1241 170 -2074
77.516 -6508 -692 15728 1362 -72 -1864
77.518 -6404 8 16604 1491 -327 -1623
77.52 -6584 996 17192 1433 -598 -1380
77.522 -6060 1680 16980 1480 -792 -1121
77.525 -5892 2420 17100 1502 -859 -951
77.527 -6320 4020 16756 1435 -1036 -700
77.529 -5848 5104 16832 1385 -1042 -501
77.531 -5860 6204 16676 1168 -1020 -315
77.533 -5748 7392 16200 953 -928 -122
77.536 -5600 9204 16216 711 -865 19
77.538 -5580 10496 16544 472 -686 103
77.54 -5868 11940 17240 -107 -482 180
77.542 -5800 13160 17016 -432 -316 186
77.545 -5704 13432 16332 -661 -103 189
77.547 -6472 14776 16660 -1019 93 178
77.549 -6776 15772 16560 -1319 200 166
77.551 -6544 16300 15812 -1594 80 125
77.553 -6728 17124 16136 -1943 165 -50
